,IGD,RUN,r,c,m,v,EAR,ALGORITHM,PROBLEM,T_POP,N_GENS,TOT_AVALS,IVF_AVALS
0,0.49646639370368384,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,10,1000,0
1,0.15768903088980044,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,20,2000,16
2,0.06694423553848716,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,30,3000,32
3,0.026554309880429332,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,40,4000,64
4,0.013584270449947271,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,50,5000,64
5,0.009002053936124866,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,60,6000,160
6,0.006785604625013071,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,70,7000,224
7,0.005801952314309572,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,80,8000,272
8,0.0051912554954373765,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,90,9000,288
9,0.004966661269084459,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,100,10000,288
10,0.004479838312485558,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,110,11000,320
11,0.004861346397603749,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,120,12000,320
12,0.004895836876497158,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,130,13000,320
13,0.004427049140668375,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,140,14000,352
14,0.005009670203176091,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,150,15000,368
15,0.00462226110341487,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,160,16000,384
16,0.004842094306077803,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,170,17000,384
17,0.0044664613850679295,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,180,18000,416
18,0.0044893055601424895,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,190,19000,432
19,0.004439597540850085,1,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,200,20000,448
20,0.6569672551802997,2,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,10,1000,16
21,0.1647475005706309,2,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,20,2000,64
22,0.06162221402209554,2,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,30,3000,96
23,0.03193505879591884,2,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,40,4000,96
24,0.016855834006267445,2,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,50,5000,160
25,0.010533040085374193,2,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,60,6000,160
26,0.00789751405680694,2,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,70,7000,160
27,0.006168715592117034,2,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,80,8000,160
28,0.005597766224961761,2,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,90,9000,160
29,0.005343254718241638,2,0.1,5,0,0,AR,IVF/SPEA2,ZDT1,100,100,10000,176
