,IGD,RUN,r,c,m,v,EAR,ALGORITHM,PROBLEM,T_POP,N_GENS,TOT_AVALS,IVF_AVALS
0,0.5454205944054457,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,10,1000,0
1,0.17438551437264382,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,20,2000,20
2,0.08478418272853443,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,30,3000,28
3,0.045529017489051915,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,40,4000,32
4,0.02645986957002691,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,50,5000,32
5,0.016583239231354685,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,60,6000,56
6,0.011541745508552206,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,70,7000,60
7,0.008949008511799408,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,80,8000,64
8,0.0072916781160180955,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,90,9000,68
9,0.006546505528176351,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,100,10000,68
10,0.005895959050875864,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,110,11000,76
11,0.005094221254742154,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,120,12000,84
12,0.004725401030172661,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,130,13000,84
13,0.004515295252715285,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,140,14000,84
14,0.004473092785234333,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,150,15000,88
15,0.004424066636309584,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,160,16000,92
16,0.004427190387716165,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,170,17000,92
17,0.004589216130981518,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,180,18000,92
18,0.0044173897244327185,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,190,19000,100
19,0.004225816078647055,1,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,200,20000,100
20,0.5484804656912915,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,10,1000,0
21,0.2848514164155591,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,20,2000,0
22,0.12188675357257049,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,30,3000,0
23,0.06482565717561779,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,40,4000,0
24,0.027277270092644853,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,50,5000,4
25,0.016255696053019415,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,60,6000,4
26,0.01004813870889259,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,70,7000,8
27,0.00763656832686228,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,80,8000,8
28,0.006042241815225886,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,90,9000,8
29,0.005669236333195572,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,100,10000,16
30,0.005288159420785024,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,110,11000,16
31,0.004904361895485941,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,120,12000,16
32,0.004451102465774349,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,130,13000,24
33,0.005089024004868182,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,140,14000,24
34,0.004820986580205192,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,150,15000,36
35,0.005183252489586982,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,160,16000,40
36,0.004748293616263261,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,170,17000,56
37,0.00495877615359745,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,180,18000,56
38,0.004795084759893745,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,190,19000,56
39,0.004520485169590396,2,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,200,20000,60
40,0.5017853160494077,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,10,1000,8
41,0.12303335268270166,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,20,2000,8
42,0.0616304362253087,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,30,3000,8
43,0.03388420058276424,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,40,4000,20
44,0.019176839572034282,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,50,5000,24
45,0.011292708738779411,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,60,6000,36
46,0.007851300372243842,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,70,7000,40
47,0.006156714600866298,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,80,8000,40
48,0.005355294199794689,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,90,9000,48
49,0.004960843803463479,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,100,10000,64
50,0.005372983930891948,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,110,11000,76
51,0.004953030333386128,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,120,12000,92
52,0.004894428037404461,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,130,13000,104
53,0.004705418544659583,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,140,14000,104
54,0.005122567163632578,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,150,15000,108
55,0.004771808064176463,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,160,16000,120
56,0.004466837203962409,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,170,17000,120
57,0.004685349988593927,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,180,18000,124
58,0.004436200687315966,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,190,19000,124
59,0.004724209165422989,3,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,200,20000,128
60,0.5524345776294701,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,10,1000,8
61,0.13068033446184682,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,20,2000,12
62,0.048564150080247975,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,30,3000,20
63,0.024123210779027862,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,40,4000,24
64,0.015454199306805331,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,50,5000,28
65,0.010502631265127595,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,60,6000,32
66,0.007585653524704754,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,70,7000,40
67,0.006570474925739138,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,80,8000,48
68,0.005414890571874796,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,90,9000,52
69,0.005115597116310972,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,100,10000,56
70,0.005234216575745344,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,110,11000,56
71,0.004649552801450817,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,120,12000,68
72,0.004260253180242701,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,130,13000,68
73,0.004544568726076723,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,140,14000,76
74,0.0047879370047456985,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,150,15000,80
75,0.00449957522046466,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,160,16000,84
76,0.004633054533126268,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,170,17000,88
77,0.004480338027979387,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,180,18000,96
78,0.004555385789366693,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,190,19000,100
79,0.004879627000130231,4,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,200,20000,100
80,0.42476507231973154,5,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,10,1000,0
81,0.11501928540924494,5,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,20,2000,4
82,0.06190677236014117,5,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,30,3000,12
83,0.03455442854410809,5,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,40,4000,20
84,0.017941755935398946,5,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,50,5000,20
85,0.011526171835684808,5,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,60,6000,20
86,0.008158886267767604,5,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,70,7000,24
87,0.006329233141589744,5,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,80,8000,28
88,0.005556240924006894,5,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,90,9000,32
89,0.005709547541952405,5,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,100,10000,36
90,0.005115624635395753,5,0.1,5,0.25,0.5,EARPA,IVF/SPEA2,ZDT1,100,110,11000,40
