,IGD,RUN,r,c,m,v,EAR,ALGORITHM,PROBLEM,T_POP,N_GENS,TOT_AVALS,IVF_AVALS
0,0.7601484723966062,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,10,1000,600
1,0.5111435198612216,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,20,2000,1040
2,0.3815067048444718,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,30,3000,1600
3,0.2503277085902074,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,40,4000,2280
4,0.19908209795607706,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,50,5000,2840
5,0.1415277839272019,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,60,6000,3400
6,0.11271368967581617,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,70,7000,4080
7,0.08786223787357167,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,80,8000,4680
8,0.0663826701157829,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,90,9000,5160
9,0.04852208755921094,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,100,10000,5720
10,0.033733471563263305,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,110,11000,6340
11,0.026830552049491373,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,120,12000,6940
12,0.02249750536766852,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,130,13000,7620
13,0.018418586620813998,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,140,14000,8140
14,0.01532605244831638,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,150,15000,8740
15,0.011845259260830833,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,160,16000,9300
16,0.009739359576010893,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,170,17000,9860
17,0.008161209750381255,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,180,18000,10460
18,0.006925846598838535,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,190,19000,10820
19,0.006091613554912203,1,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,200,20000,11420
20,0.5209352459439994,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,10,1000,440
21,0.26713367491161616,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,20,2000,980
22,0.19080738255405616,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,30,3000,1620
23,0.14611867664944217,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,40,4000,2140
24,0.10978111608419835,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,50,5000,2460
25,0.08117693503790756,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,60,6000,3100
26,0.057091092533217376,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,70,7000,3600
27,0.041555565646626116,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,80,8000,4120
28,0.03352005187801871,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,90,9000,4660
29,0.019611510241951183,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,100,10000,5140
30,0.016205076339532696,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,110,11000,5720
31,0.010874936571820742,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,120,12000,6240
32,0.009640336807525404,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,130,13000,6860
33,0.00850046302227618,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,140,14000,7580
34,0.006950981880337162,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,150,15000,8100
35,0.0063934319528821115,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,160,16000,8500
36,0.005866583506007137,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,170,17000,9180
37,0.005047852526666445,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,180,18000,9700
38,0.005394180607563213,2,0.9,11,0,0,AR,IVF/SPEA2,ZDT1,100,190,19000,10240
